"rd_question_id","subject_tag","paper","question_type","question_text","option_a","option_b","option_c","option_d","option_e","option_f","option_g","option_h","correct_answer","explanation","difficulty","teaser_text","display_order"
"RD_011","Psychiatry","CPS","SBA","A 35-year-old woman presents with a 3-month history of persistent low mood, anhedonia, poor concentration, and early morning wakening. She has no suicidal ideation and has not tried any treatment. According to NICE guidelines, what is the most appropriate first-line pharmacological treatment?","Amitriptyline","Citalopram","Diazepam","Mirtazapine","Venlafaxine","","","","B","NICE CG90/NG222 recommends an SSRI as first-line pharmacological treatment for moderate to severe depression. Amitriptyline (tricyclic) is not first-line due to its side-effect profile and toxicity in overdose. Diazepam carries dependence risk. Mirtazapine and venlafaxine are typically second-line options.","Easy","You struggled with first-line antidepressant prescribing.","11"
"RD_012","Musculoskeletal","CPS","SBA","A 45-year-old woman presents with a 4-month history of symmetrical pain and swelling in her MCP and PIP joints, with 90 minutes of morning stiffness. Rheumatoid factor and anti-CCP antibodies are positive. According to NICE guidelines, what is the most appropriate initial disease-modifying treatment?","Hydroxychloroquine","Methotrexate","Prednisolone alone","Adalimumab","Naproxen","","","","B","NICE NG100 recommends methotrexate as the first-line DMARD for newly diagnosed rheumatoid arthritis, ideally started within 3 months of symptom onset. Short-term glucocorticoids may bridge while methotrexate takes effect, but prednisolone alone does not prevent joint destruction. Biologics like adalimumab are reserved for patients who have failed at least two conventional DMARDs.","Medium","You struggled with rheumatoid arthritis first-line DMARD prescribing.","12"
"RD_013","Infectious Disease","CPS","SBA","A 78-year-old care home resident presents with dysuria, frequency, and confusion. She has a temperature of 38.5 degrees and is haemodynamically stable. Urine dipstick shows nitrites and leucocytes. She has no drug allergies. According to NICE guidelines, what is the most appropriate empirical antibiotic?","Amoxicillin","Trimethoprim","Nitrofurantoin","Ciprofloxacin","Co-amoxiclav","","","","C","NICE NG109 recommends nitrofurantoin as first-line empirical treatment for uncomplicated lower UTI in women if eGFR is 45 or above. Trimethoprim is an alternative but increasing resistance rates make nitrofurantoin preferred. Amoxicillin is not recommended due to high resistance. Ciprofloxacin should be reserved for complicated or upper UTIs.","Easy","You struggled with UTI antibiotic prescribing and antimicrobial stewardship.","13"
"RD_014","Dermatology","CPS","SBA","A 22-year-old man presents with well-demarcated erythematous plaques with silver-white scale on his elbows, knees, and scalp. The plaques cover approximately 4% of his body surface area. He has not tried any treatment. What is the most appropriate first-line management?","Oral methotrexate","Potent topical corticosteroid plus a vitamin D analogue","Phototherapy (narrow-band UVB)","Topical tacrolimus","Oral acitretin","","","","B","NICE CG153 recommends a potent topical corticosteroid plus a topical vitamin D analogue as first-line treatment for plaque psoriasis affecting less than 10% BSA. Systemic treatments are reserved for moderate-to-severe disease unresponsive to topicals. Topical tacrolimus is not licensed for psoriasis.","Easy","You struggled with psoriasis first-line management.","14"
"RD_015","Paediatrics","CPS","SBA","A 3-year-old boy is brought to the GP with a 2-day history of barking cough, inspiratory stridor at rest, and mild chest wall recession. He is alert, well-hydrated, and has a temperature of 38.1 degrees. His oxygen saturations are 96% on air. What is the most appropriate immediate management?","Oral dexamethasone","Nebulised adrenaline","Intravenous antibiotics","Oral amoxicillin","Inhaled salbutamol","","","","A","NICE and BNFc guidelines recommend oral dexamethasone (0.15 mg/kg single dose) as the first-line treatment for all severities of croup. It reduces airway oedema and decreases the need for hospitalisation. Nebulised adrenaline is reserved for severe croup with significant respiratory distress. Antibiotics are not indicated as croup is viral.","Easy","You struggled with croup severity assessment and management.","15"
"RD_016","Professional Dilemmas","PD","SBA","You are an FY2 doctor. A 78-year-old woman with capacity refuses a blood transfusion for symptomatic anaemia (Hb 62 g/L) on religious grounds. Her family insists you proceed with the transfusion. What is the most appropriate course of action?","Respect the patient's refusal and document the discussion","Transfuse as the family requests since they have her best interests at heart","Obtain a court order to authorise the transfusion","Contact the hospital chaplain to persuade the patient to accept treatment","Delay the decision and ask the consultant to override her refusal","","","","A","A competent adult has the absolute right to refuse any medical treatment, even if the refusal may result in their death. This principle is enshrined in the Mental Capacity Act 2005 and GMC guidance on consent. The patient's capacity has been established, and her decision must be respected regardless of family views. Family members cannot consent on behalf of a competent adult.","Easy","You struggled with patient autonomy and consent principles.","16"
"RD_017","Professional Dilemmas","PD","SBA","You are an FY2 doctor. A patient with metastatic pancreatic cancer asks you directly: 'Am I going to die from this?' His wife has previously asked the team not to tell him his prognosis. What is the most appropriate response?","Tell the patient his prognosis is poor as he has a right to know","Defer to his wife's wishes and reassure the patient that everything will be fine","Ask the patient what he already understands and what he would like to know","Tell the patient you cannot discuss this and he should ask the consultant","Change the subject to avoid upsetting the patient","","","","C","GMC guidance on end-of-life care emphasises that patients have a right to information about their condition, but information should be shared sensitively and at the patient's pace. The most appropriate approach is to explore what the patient already knows and explicitly ask what they would like to know. This respects autonomy while allowing them to set the boundaries.","Medium","You struggled with breaking bad news and balancing family wishes with patient autonomy.","17"
"RD_018","Pharmacology","CPS","SBA","A 68-year-old man with atrial fibrillation is started on amiodarone. He is also taking warfarin for stroke prevention. His INR was stable at 2.5. What monitoring concern is most important to address regarding this drug interaction?","Amiodarone reduces warfarin efficacy requiring dose increase","Amiodarone inhibits warfarin metabolism leading to raised INR and bleeding risk","Amiodarone causes warfarin to bind more tightly to albumin","Warfarin inhibits amiodarone absorption","No interaction exists between these drugs","","","","B","Amiodarone is a potent inhibitor of CYP2C9, the primary enzyme responsible for warfarin metabolism. This leads to significantly increased warfarin levels and raised INR, putting the patient at substantial risk of haemorrhage. When amiodarone is started, the warfarin dose should be reduced by one-third to one-half, with frequent INR monitoring.","Medium","You struggled with high-risk drug interactions and INR management.","18"
"RD_019","Reproductive","CPS","SBA","A 30-year-old woman requests long-acting reversible contraception. She has a BMI of 32, no relevant medical history, and does not wish to become pregnant for at least 3 years. She is concerned about weight gain. According to NICE guidelines, which method should be offered as first-line?","Combined oral contraceptive pill","Copper intrauterine device (Cu-IUD)","Levonorgestrel intrauterine system (LNG-IUS)","Medroxyprogesterone acetate injection (Depo-Provera)","Etonogestrel subdermal implant","","","","C","NICE CG30 recommends the LNG-IUS as the most effective form of long-acting reversible contraception and should be considered first-line. It has a failure rate of less than 1%, provides contraception for 5 years, and is not associated with weight gain. Depo-Provera is associated with weight gain and reduced bone density.","Medium","You struggled with LARC prescribing and contraceptive counselling.","19"
"RD_020","Haematology","CPS","SBA","A 45-year-old woman presents with fatigue and pallor. Her blood results show: Hb 85 g/L, MCV 68 fL, ferritin 8 ug/L, serum iron low, TIBC raised. She has regular heavy menstrual periods. What is the most appropriate initial management?","Oral ferrous sulphate","Intravenous iron infusion","Blood transfusion","Intramuscular vitamin B12","Oral folic acid","","","","A","This patient has iron deficiency anaemia (microcytic, low ferritin, low serum iron, raised TIBC) secondary to menorrhagia. BSH guidelines recommend oral iron supplementation (ferrous sulphate 200 mg two to three times daily) as first-line. IV iron is reserved for patients who cannot tolerate oral iron, have malabsorption, or need rapid correction.","Easy","You struggled with iron deficiency anaemia investigation and management.","20"
